City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,53.74,56.0,1033.0,66.0,8.95,SH,1717108155.0
1,utrik,11.2278,169.8474,82.33,79.0,1013.0,100.0,10.58,MH,1717108156.0
2,sitka,57.0531,-135.33,53.49,58.0,1023.0,100.0,8.05,US,1717108157.0
3,aasiaat,68.7098,-52.8699,30.34,67.0,1015.0,19.0,6.06,GL,1717108159.0
4,st. paul,44.9444,-93.0933,78.58,43.0,1017.0,20.0,16.11,US,1717108137.0
5,stanley,54.868,-1.6985,51.71,82.0,1017.0,0.0,13.8,GB,1717108161.0
6,karratha,-20.7377,116.8463,68.43,70.0,1016.0,0.0,10.29,AU,1717108162.0
7,saint-pierre,-21.3393,55.4781,73.08,83.0,1019.0,75.0,23.02,RE,1717107963.0
8,port-aux-francais,-49.35,70.2167,37.69,74.0,1006.0,24.0,34.43,TF,1717108164.0
9,ruidoso,33.3317,-105.673,84.61,5.0,1024.0,0.0,25.32,US,1717108165.0
10,adamstown,-25.066,-130.1015,71.28,81.0,1014.0,52.0,20.38,PN,1717108166.0
11,faya-largeau,17.9257,19.1043,92.25,19.0,1008.0,0.0,18.1,TD,1717108168.0
12,vallenar,-28.5708,-70.7581,73.09,31.0,1013.0,86.0,4.41,CL,1717108169.0
13,xinguara,,,,,,,,,
14,fort bragg,35.139,-79.006,80.74,41.0,1017.0,0.0,10.36,US,1717108171.0
15,bethel,41.3712,-73.414,70.34,46.0,1013.0,40.0,12.66,US,1717107892.0
16,hamilton,39.1834,-84.5333,75.43,47.0,1020.0,0.0,3.0,US,1717107812.0
17,nadym,65.5333,72.5167,31.96,86.0,1010.0,100.0,13.73,RU,1717108174.0
18,rockland,41.1668,-74.0496,71.58,53.0,1015.0,60.0,2.73,US,1717107862.0
19,balkanabat,39.5108,54.3671,82.38,9.0,1014.0,1.0,17.49,TM,1717108176.0
20,kapa'a,22.0752,-159.319,84.18,75.0,1021.0,20.0,14.97,US,1717107931.0
21,san pedro pochutla,15.7333,-96.4667,94.71,52.0,1008.0,68.0,7.72,MX,1717108179.0
22,ust'-ilimsk,58.0006,102.6619,42.44,88.0,1022.0,100.0,5.99,RU,1717108180.0
23,christchurch,-43.5333,172.6333,56.48,74.0,1027.0,89.0,9.22,NZ,1717108181.0
24,mejit,10.2753,170.8646,82.53,78.0,1013.0,100.0,10.11,MH,1717108182.0
25,sur,22.5667,59.5289,93.34,47.0,1001.0,0.0,8.88,OM,1717108183.0
26,tarariras,-34.2833,-57.6167,56.16,63.0,1024.0,100.0,0.56,UY,1717108184.0
27,rio grande,-32.035,-52.0986,53.71,84.0,1025.0,53.0,4.29,BR,1717108185.0
28,plast,54.3691,60.8136,42.89,84.0,1023.0,37.0,1.16,RU,1717108187.0
29,kushiro,42.975,144.3747,49.15,81.0,1014.0,75.0,3.44,JP,1717108188.0
30,qaqortoq,60.7167,-46.0333,37.58,75.0,1008.0,100.0,1.77,GL,1717108147.0
31,papatowai,-46.5619,169.4708,58.23,63.0,1014.0,100.0,13.71,NZ,1717108190.0
32,pyin oo lwin,22.0333,96.4667,69.21,92.0,1006.0,71.0,1.32,MM,1717108191.0
33,vila franca do campo,37.7167,-25.4333,66.61,99.0,1016.0,54.0,5.46,PT,1717108192.0
34,bahia de caraquez,-0.6,-80.4167,80.78,83.0,1009.0,100.0,10.0,EC,1717108193.0
35,margaret river,-33.95,115.0667,61.52,73.0,1016.0,79.0,10.33,AU,1717108194.0
36,puerto natales,-51.7236,-72.4875,33.33,91.0,1015.0,100.0,3.38,CL,1717108195.0
37,aykhal,66.0,111.5,42.85,41.0,1019.0,15.0,13.51,RU,1717108197.0
38,lice,38.4592,40.6475,64.2,50.0,1010.0,0.0,2.68,TR,1717108198.0
39,saint augustine beach,29.8505,-81.2654,90.07,51.0,1017.0,0.0,8.05,US,1717108199.0
40,fale old settlement,-9.3852,-171.2468,84.06,75.0,1013.0,24.0,10.27,TK,1717108200.0
41,soure,-0.7167,-48.5233,77.83,86.0,1012.0,22.0,6.93,BR,1717107959.0
42,vorgashor,67.5833,63.95,27.81,87.0,1013.0,100.0,11.12,RU,1717108203.0
43,grytviken,-54.2811,-36.5092,19.6,77.0,989.0,56.0,13.29,GS,1717108204.0
44,ushuaia,-54.8,-68.3,35.26,69.0,1011.0,0.0,11.5,AR,1717108204.0
45,albany,42.6001,-73.9662,68.43,39.0,1015.0,57.0,4.0,US,1717108207.0
46,dunedin,-45.8742,170.5036,49.8,95.0,1016.0,100.0,5.73,NZ,1717108199.0
47,labytnangi,66.6572,66.4183,28.38,80.0,1011.0,100.0,7.34,RU,1717108210.0
48,chonchi,-42.6128,-73.8092,47.41,92.0,1017.0,100.0,0.51,CL,1717108211.0
49,kulia village,,,,,,,,,
